track,artist,danceability,energy,speechiness,valence
Lucky Man,Montgomery Gentry,0.578,0.471,0.0289,0.532
On The Hotline,Pretty Ricky,0.704,0.854,0.183,0.688
Clouds Of Dementia,Candlemass,0.162,0.836,0.0473,0.3
"Heavy Metal, Raise Hell!",Zwartketterij,0.188,0.994,0.166,0.333
I Got A Feelin',Billy Currington,0.63,0.764,0.0275,0.631
Dantzig Station,State Of Art,0.726,0.837,0.0965,0.969
Divorced,Blacklisted,0.365,0.922,0.071,0.29
Where I Come From,Alan Jackson,0.726,0.631,0.0334,0.746
Nothin' To Die For,Tim McGraw,0.481,0.786,0.0288,0.389
I Want to Know Your Plans,Say Anything,0.647,0.324,0.0377,0.344
F.U.R.B. (F U Right Back),Frankee,0.787,0.632,0.137,0.612
Amarillo Sky,Jason Aldean,0.491,0.776,0.0393,0.428
Gin And Juice,Hot Rod Circuit,0.455,0.737,0.0272,0.206
Six-Pack Summer,Phil Vassar,0.725,0.733,0.0242,0.843
Hatho Pai Kariya Na Kar,Kartar Ramla,0.497,0.421,0.187,0.804
Serious Hardcore - Original Mix,Ham,0.509,0.942,0.0628,0.163
Daddy Won't Sell The Farm,Montgomery Gentry,0.708,0.728,0.0298,0.704
Move Along,The All-American Rejects,0.518,0.916,0.0454,0.646
Era De Maggio,Tito Schipa,0.395,0.248,0.0519,0.324
Apply Some Pressure,Maximo Park,0.378,0.953,0.138,0.512
It's So Hard,Big Punisher Featuring Donell Jones,0.9,0.593,0.333,0.633
Celtic Pride,The Mahones,0.329,0.812,0.0872,0.4
Birth Interlude,Clubroot,0.389,0.598,0.0363,0.0396
Make It Rain,Fat Joe Featuring Lil Wayne,0.744,0.697,0.197,0.767
Here Comes The Summer,The Fiery Furnaces,0.723,0.785,0.0302,0.816
In the Dreamlife You Need a Rubber Soul,The Clean,0.56,0.808,0.0306,0.691
He Gets That From Me,Reba McEntire,0.643,0.391,0.0296,0.418
Stay - 2006 Remaster,Frankie Valli & The Four Seasons,0.735,0.732,0.0699,0.656
Improvisation 5,Joe Mcphee,0.536,0.081,0.0877,0.477
Carlene,Phil Vassar,0.587,0.88,0.0324,0.778
Someday,Sugar Ray,0.743,0.67,0.0293,0.934
7 Days,Craig David,0.659,0.812,0.0487,0.888
True Rebel,Nitrogenetics,0.539,0.985,0.126,0.127
Rock Your Body,Justin Timberlake,0.891,0.714,0.14,0.818
Bed,J. Holiday,0.684,0.606,0.0504,0.723
Daft Punk Is Playing at My House - Soulwax Shibuya Mix,LCD Soundsystem,0.658,0.954,0.0792,0.486
Scars,Papa Roach,0.471,0.936,0.0448,0.45
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,0.781,0.746,0.17,0.786
Sound Of Madness,Shinedown,0.328,0.939,0.0423,0.329
Here I Am,Rick Ross Featuring Nelly & Avery Storm,0.746,0.717,0.127,0.475
Black Sails At Midnight,Alestorm,0.493,0.977,0.151,0.322
Crush,David Archuleta,0.57,0.664,0.0322,0.487
Caustic Disco,Velvet Acid Christ,0.564,0.878,0.0499,0.483
Arctic,Valhall,0.277,0.836,0.0458,0.351
Some Beach,Blake Shelton,0.787,0.765,0.0265,0.964
When You Lie Next To Me,Kellie Coffey,0.312,0.404,0.0293,0.115
"1, 2, 3, 4",Plain White T's,0.458,0.55,0.0262,0.56
Mama's Song,Carrie Underwood,0.341,0.659,0.0357,0.269
Occult Glider,Jazkamer,0.168,0.808,0.108,0.0209
