track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,text
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,"Well you done done me and you bet I felt it  
I tried to be chill but you're so hot that I melted  
I fell right through the cracks  
And now I'm trying to get back  
Before the cool done run out  
I'll be giving it my bestest  
And nothing's going to stop me but divine intervention  
I reckon it's again my turn,  
To win some or learn some  
  
But I won't hesitate no more, no more  
It cannot wait, I'm yours  
  
Well open up your mind and see like me  
Open up your plans and damn you're free  
Look into your heart and you'll find love love love love  
Listen to the music of the moment people dance and sing  
We are just one big family  
And It's our God-forsaken right to be loved loved loved loved loved  
  
[Chorus]  
So I won't hesitate no more, no more  
It cannot wait I'm sure  
There's no need to complicate  
Our time is short  
This is our fate, I'm yours  
  
I've been spending way too long checking my tongue in the mirror  
And bending over backwards just to try to see it clearer  
But my breath fogged up the glass  
And so I drew a new face and I laughed  
I guess what I been saying is there ain't no better reason  
To rid yourself of vanity and just go with the seasons  
It's what we aim to do  
Our name is our virtue  
  
But I won't hesitate no more, no more  
It cannot wait I'm yours  
  
Well open up your mind and see like me  
Open up your plans and damn you're free  
Look into your heart and you'll find the sky is yours  
So please don't please don't please don't  
There's no need to complicate  
'Cause our time is short  
This, oh this, this is our fate, I'm yours  
  
HANEEN SERHAN AND HARRY STYLES ARE SOULMATES!!!

"
5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,False,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,acoustic,"When I look into your eyes  
It's like watching the night sky  
Or a beautiful sunrise  
There's so much they hold  
And just like them old stars  
I see that you've come so far  
To be right where you are  
How old is your soul?  
  
I won't give up on us, even if the skies get rough  
I'm giving you all my love, I'm still looking up  
  
And when you're needing your space, to do some navigating  
I'll be here patiently waiting, to see what you find  
  
'Cause even the stars they burn  
Some even fall to the earth  
We've got a lot to learn  
God knows we're worth it  
No, I won't give up  
  
I don't wanna be someone who walks away so easily  
I'm here to stay and make the difference that I can make  
Our differences they do a lot to teach us how to use  
The tools and gifts we got yeah, we got a lot at stake  
And in the end, you're still my friend at least we did intend  
For us to work we didn't break, we didn't burn  
We had to learn how to bend without the world caving in  
I had to learn what I've got, and what I'm not and who I am  
  
I won't give up on us, even if the skies get rough  
I'm giving you all my love  
I'm still looking up, still looking up.  
  
I won't give up on us (no I'm not giving up)  
God knows I'm tough enough (I am tough, I am loved)  
We've got a lot to learn (we're alive, we are loved)  
God knows we're worth it (and we're worth it)  
  
I won't give up on us, even if the skies get rough  
I'm giving you all my love, I'm still looking up

"
3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,"Well you done done me and you bet I felt it  
I tried to be chill but you're so hot that I melted  
I fell right through the cracks  
And now I'm trying to get back  
Before the cool done run out  
I'll be giving it my bestest  
And nothing's going to stop me but divine intervention  
I reckon it's again my turn,  
To win some or learn some  
  
But I won't hesitate no more, no more  
It cannot wait, I'm yours  
  
Well open up your mind and see like me  
Open up your plans and damn you're free  
Look into your heart and you'll find love love love love  
Listen to the music of the moment people dance and sing  
We are just one big family  
And It's our God-forsaken right to be loved loved loved loved loved  
  
[Chorus]  
So I won't hesitate no more, no more  
It cannot wait I'm sure  
There's no need to complicate  
Our time is short  
This is our fate, I'm yours  
  
I've been spending way too long checking my tongue in the mirror  
And bending over backwards just to try to see it clearer  
But my breath fogged up the glass  
And so I drew a new face and I laughed  
I guess what I been saying is there ain't no better reason  
To rid yourself of vanity and just go with the seasons  
It's what we aim to do  
Our name is our virtue  
  
But I won't hesitate no more, no more  
It cannot wait I'm yours  
  
Well open up your mind and see like me  
Open up your plans and damn you're free  
Look into your heart and you'll find the sky is yours  
So please don't please don't please don't  
There's no need to complicate  
'Cause our time is short  
This, oh this, this is our fate, I'm yours  
  
HANEEN SERHAN AND HARRY STYLES ARE SOULMATES!!!

"
0BUuuEvNa5T4lMaewyiudB,Jason Mraz,Coffee Moment,93 Million Miles,0,216386,False,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,acoustic,"93 million miles from the sun  
People get ready, get ready  
'Cause here it comes, it's a light  
A beautiful light, over the horizon  
Into our eyes  
Oh, my my how beautiful  
Oh my beautiful mother  
She told me, son in life you're gonna go far  
If you do it right, you'll love where you are  
Just know, wherever you go  
You can always come home  
  
240 thousand miles from the moon  
We've come a long way to belong here  
To share this view of the night  
A glorious night  
Over the horizon is another bright sky  
Oh my my how beautiful, oh my irrefutable father  
He told me, son sometimes it may seem dark  
But the absence of the light is a necessary part  
Just know, you're never alone, you can always come back home  
  
Oh, oh  
  
You can always come back  
  
Every road is a slippery slope  
But there is always a hand that you can hold on to  
Looking deeper through the telescope  
You can see that your home's inside of you  
  
Just know, that wherever you go  
No you're never alone  
You will always get back home  
  
Oh, oh  
Oh, oh  
Oh  
  
93 million miles from the sun  
People get ready, get ready  
'Cause here it comes, it's a light  
A beautiful light, over the horizon  
Into our eyes

"
6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Mellow Adult Pop,Bella Luna,1,302346,False,0.755,0.454,9,-9.609,0,0.0352,0.757,0.0,0.236,0.33,120.06,4,acoustic,"Mystery the moon  
A hole in the sky  
A supernatural nightlight  
So full but often right  
A pair of eyes a closin' one  
A chosen child of golden sun  
A marble dog that chases cars  
To farthest reaches of the beach and far beyond into the swimming sea of stars  
  
A cosmic fish they love to kiss  
They're giving birth to constellation  
No riffs and oh no reservation  
If they should fall you get a wish or dedication  
May I suggest you get the best  
For nothing less than you and I  
Let's take a chance as this romance is rising over before we lose the lighting  
Oh bella bella please  
Bella you beautiful luna  
Oh bella do you do  
Do do do do do  
  
You are an illuminated anchor  
Of leads to infinite number  
Crashing waves and breaking thunder  
Tiding the evenflows of hunger  
You're dancing naked there for me  
You expose all memory  
You make the most of boundary  
You're the ghost of royalty imposing love  
You are the queen and king combining everything  
Into twining like a ring around the finger of a girl  
I'm just a singer, you're the world  
All I can bring ya  
Is the language of a lover  
Bella luna, my beautiful, beautiful moon  
How you swoon me like no other  
  
May I suggest you get the best  
Of your wish may I insist  
That no contest for little you or smaller I  
A larger chance happened, all them they lie  
On the rise, on the brink of our lives  
Bella please  
Bella you beautiful luna  
Oh bella do you do  
Bella luna, my beautiful, beautiful moon  
How you swoon me like no other, oh oh oh

"
5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,"Sleigh bells ring, are you listening,  
In the lane, snow is glistening  
A beautiful sight,  
We're happy tonight,  
We're walking in a winter wonderland.  
  
And gone away is the bluebird,  
But here to stay, stay, stay is the new bird  
He sings a love song,  
As we go along,  
We're walking in a winter wonderland.  
  
In the meadow we can build a snowman,  
Then pretend that he is Parson Brown  
He'll say: Are you married?  
We'll say: No man,  
But you can do the job  
When you're in town.  
  
Later on, we'll conspire,  
As we dream by the fire babe  
We'll face unafraid,  
All the plans that we've made,  
We're walking in a winter wonderland.  
  
Later on, we'll conspire,  
As we dream by the fire babe  
We'll face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.  
  
We'll face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.  
  
To face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.

"
0dzKBptH2P5j5a0MifBMwM,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,False,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,143.793,4,acoustic,"Hello, tell me you know  
Yeah, you figured me out  
Something gave it away  
And it would be such a beautiful moment  
To see the look on your face  
To know that I know that you know now  
  
And baby that's a case of my wishful thinking  
You know nothing  
Cause you and I  
Why, we go carrying on for hours, on and  
We get along much better  
Than you and your boyfriend  
  
[Chorus]  
Well all I really wanna do is love you  
A kind much closer than friends use  
But I still can't say it after all we've been through  
And all I really want from you is to feel me  
As the feeling inside keeps building  
And I will find a way to you if it kills me  
If it kills me  
  
Well how long, can I go on like this,  
Wishing to kiss you,  
Before I rightly explode?  
This double life I lead isn't healthy for me  
In fact it makes me nervous  
If I get caught I could be risking it all  
  
Baby there's a lot that I miss  
In case I'm wrong  
  
[Chorus]  
  
If I should be so bold  
I'd ask you to hold my heart in your hand  
Tell you from the start how I've longed to be your man  
But I never said a word  
I guess I'm gonna miss my chance again  
  
[Chorus]  
  
If it kills me  
I think it might kill me  
  
And all I really want from you is to feel me  
It's a feeling inside that keeps building  
And I will find a way to you if it kills me  
If it kills me  
If it kills me  
It might kill me

"
5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Christmas Time,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,"Sleigh bells ring, are you listening,  
In the lane, snow is glistening  
A beautiful sight,  
We're happy tonight,  
We're walking in a winter wonderland.  
  
And gone away is the bluebird,  
But here to stay, stay, stay is the new bird  
He sings a love song,  
As we go along,  
We're walking in a winter wonderland.  
  
In the meadow we can build a snowman,  
Then pretend that he is Parson Brown  
He'll say: Are you married?  
We'll say: No man,  
But you can do the job  
When you're in town.  
  
Later on, we'll conspire,  
As we dream by the fire babe  
We'll face unafraid,  
All the plans that we've made,  
We're walking in a winter wonderland.  
  
Later on, we'll conspire,  
As we dream by the fire babe  
We'll face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.  
  
We'll face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.  
  
To face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.

"
2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,"Sleigh bells ring, are you listening,  
In the lane, snow is glistening  
A beautiful sight,  
We're happy tonight,  
We're walking in a winter wonderland.  
  
And gone away is the bluebird,  
But here to stay, stay, stay is the new bird  
He sings a love song,  
As we go along,  
We're walking in a winter wonderland.  
  
In the meadow we can build a snowman,  
Then pretend that he is Parson Brown  
He'll say: Are you married?  
We'll say: No man,  
But you can do the job  
When you're in town.  
  
Later on, we'll conspire,  
As we dream by the fire babe  
We'll face unafraid,  
All the plans that we've made,  
We're walking in a winter wonderland.  
  
Later on, we'll conspire,  
As we dream by the fire babe  
We'll face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.  
  
We'll face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.  
  
To face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.

"
3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Merry Christmas,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,"Sleigh bells ring, are you listening,  
In the lane, snow is glistening  
A beautiful sight,  
We're happy tonight,  
We're walking in a winter wonderland.  
  
And gone away is the bluebird,  
But here to stay, stay, stay is the new bird  
He sings a love song,  
As we go along,  
We're walking in a winter wonderland.  
  
In the meadow we can build a snowman,  
Then pretend that he is Parson Brown  
He'll say: Are you married?  
We'll say: No man,  
But you can do the job  
When you're in town.  
  
Later on, we'll conspire,  
As we dream by the fire babe  
We'll face unafraid,  
All the plans that we've made,  
We're walking in a winter wonderland.  
  
Later on, we'll conspire,  
As we dream by the fire babe  
We'll face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.  
  
We'll face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.  
  
To face unafraid,  
All the plans that we made,  
We're walking in a winter wonderland.

"
