track_name,artists,danceability,energy,speechiness,valence,text
Ordinary People,John Legend,0.469,0.132,0.0807,0.36,"Girl, I'm in love with you This ain't the honeymoon Passed the infatuation phase Right in the thick of love At times we get sick of love Seems like we argue everyday I know I misbehaved and you made your mistakes And we both still got room left to grow And though love sometimes hurts I still put you first And we'll make this thing work but I think maybe we should take it slow We're just ordinary people We don't know which way to go Cause we're ordinary people Maybe we should take it slow Take it slow, ohh This time we'll take it slow Take it slow, ohh This time we'll take it slow This ain't a movie love No fairytale conclusion y'all It gets more confusing everyday Sometimes it's heaven sent Then we head back to hell again We kiss then we make up on the way I hang up, you call We rise and we fall And we feel like just walking away As our love advances we take second chances Though it's not a fantasy I still want you to stay We're just ordinary people We don't know which way to go Cause we're ordinary people Maybe we should take it slow Take it slow, ohh This time we'll take it slow Take it slow, ohh This time we'll take it slow Take it slow Maybe we'll live and learn Maybe we'll crash and burn Maybe you'll stay, maybe you'll leave maybe you'll return Maybe another fight Maybe we won't survive But maybe we'll grow We never know Maybe you and I We're just ordinary people We don't know which way to go Cause we're ordinary people Maybe we should take it slow We're just ordinary people We don't know which way to go Cause we're ordinary people Maybe we should take it slow Take it slow, ohh This time we'll take it slow Take it slow, ohh This time we'll take it slow Take it slow, slow This time we'll take it slow Take it slow, ohh This time we'll take it slow "
Kiss A Girl,Keith Urban,0.653,0.786,0.0338,0.477,"To kiss and tell, it's just not my style. But the night is young, and it's been awhile and she broke my heart, Broke it right in two, and it took some time but I'm feelin' like I'm finally ready to find, find somebody new [Chorus] I wanna kiss a girl I wanna hold her tight Maybe make a little magic in the moonlight Don't wanna go too far just to take it slow But I shouldn't be lonely in this big old world I wanna kiss a girl It's that moment when you start closin' in First you're holding back, then surrenderin' It can start a fire, light up the sky, such a simple thing. Do you wanna try? Are you ready to say good-bye to all these blues? [Chorus] 'cause maybe tonight it could turn into the rest of our lives, oh yeah. Are you ready? Are you ready, to cross that line, put your lips on mine? (Put your lips on mine baby) Do you wanna try? Are you ready to say good-bye to all these blues? I wanna kiss a girl I wanna hold her tight Maybe make a little magic baby Don't wanna go too far just to take it slow But no one should be lonely, I shouldn't be lonely [Chorus] "
I Learned From The Best,Whitney Houston,0.609,0.563,0.0328,0.306,"Did you really think that I would really take you back Let you back in my heart One more time, oh, no no Did you think I'd still care That there'd be more feeling there Did you think you could walk back In my life, oh So you found you missed the love you threw away Baby, but you found it out too late, too late [Chorus] And so you know the way it feels to cry The way that I cried when you broke my world in two And baby I learned the way to break a heart I learned from the best, I learned from you Oh baby, now, I learned from you I remember cold nights Tears I thought would never dry How you shattered my world With your goodbye, your goodbye Would a sold my soul then Just to have you back again Now you are the last thing on my mind Now you say you're sorry and you've Changed your ways Sorry but you changed your ways too late [Chorus] So when all you've got are sleepless night When those tears are clouding up your eyes Just remember it was you Who said goodbye, who said goodbye [Chorus] I learned from the best I learned from you "
Beautiful,Christina Aguilera,0.457,0.573,0.0275,0.0992,"Don't look at me Everyday is so wonderful Then suddenly It's hard to breathe Now and then I get insecure From all the pain I'm so ashamed I am beautiful No matter what they say Words can't bring me down I am beautiful In every single way Yes words can't bring me down Oh no So don't you bring me down today To all your friends you're delirious So consumed In all your doom, ooh Trying hard to fill the emptiness The pieces gone Left the puzzle undone Ain't that the way it is You're beautiful No matter what they say Words can't bring you down Oh no You're beautiful In every single way Yes words can't bring you down Oh no So don't you bring me down today No matter what we do (no matter what we do) No matter what we say (no matter what we say) We're the song inside the tune (yeah, oh yeah) Full of beautiful mistakes And everywhere we go (and everywhere we go) The sun will always shine (the sun will always, always, shine) And tomorrow we might awake On the other side We're beautiful No matter what they say Yes words won't bring us down Oh no We are beautiful In every single way Yes words can't bring us down Oh no So don't you bring me down today Oh, oh Don't you bring me down today Don't you bring me down, ooh Today "
Shadow Of The Day,Linkin Park,0.534,0.393,0.0292,0.0641,"I close both locks below the window I close both blinds and turn away Sometimes solutions aren't so simple Sometimes goodbye's the only way, oh [Chorus] And the sun will set for you The sun will set for you And the shadow of the day Will embrace the world in gray And the sun will set for you In cards and flowers on your window Your friends all plead for you to stay Sometimes beginnings aren't so simple Sometimes goodbye's the only way, oh [Chorus] And the shadow of the day Will embrace the world in gray And the sun will set for you And the shadow of the day Will embrace the world in gray And the sun will set for you "
I Look To You,Whitney Houston,0.55,0.373,0.0286,0.101,"As I lay me down Heaven hear me now I'm lost without a cause After giving it my all Winter storms have come And darkened my sun After all that I've been through Who on earth can I turn to I look to you I look to you After all my strength is gone In you I can be strong I look to you I look to you Yeah And when melodies are gone In you I hear a song I look to you After losing my breath There's no more fighting left Sinking to rise no more Searching for that open door And every road that I've taken Led to my regret And I don't know if I'm gonna make it Nothing to do but lift my head I look to you I look to you Yeah And when all my strength is gone In you I can be strong I look to you I look to you Oh yeah And when melodies are gone In you I hear a song I look to you (my levies have broken, my walls have come) Coming down on me (crumbling down on me) All the rain is falling (the rain is falling, defeat is calling) Set me free (I need you to set me free) Take me far away from the battle I need you Shine on me I look to you I look to you After all my strength has gone In you I can be strong I look to you I look to you And when melodies are gone In you I hear a song I look to you Yeah I look to you I look to you "
All The Right Moves,OneRepublic,0.529,0.948,0.0474,0.65,"(All the right friends in all the right places) So yeah we're going down (All the right moves in all the right places) So yeah we're going down Paint a picture of the perfect place They've got it better than when anyone's told ya, I'll be the King of Hearts, you're the Queen of Spades And we'll fight for you like we were soldiers I know we've got it good But they've got it made And the grass is getting greener each day I know things are looking up But soon they'll take us down Before anybody's knowing our name They've got all the right friends in all the right places So yeah, we're going down They've got all the right moves in all the right faces So yeah, we're going down Everybody knows, everybody knows where we're going Yeah, we're going down I said, everybody knows, everybody knows where we're going Yeah, we're going down Do you think I'm special, do you think I'm nice Am I bright enough to shine in your spaces Between the noise you hear and the sound you like Are we just sinking in the ocean of faces It can't be possible that rain can fall, Only when it's over our heads The sun is shining everyday, but it's far away Over the world it's said, they've got, they've got All the right friends, in all the right places So yeah we're going down We got all the right moves in all the right places So yeah we're going down Everybody knows, everybody knows where we're going Yeah, we're going down Everybody knows, everybody knows where we're going Yeah, we're going down (going down, going down, going down, going down) It don't matter what you see I know I could never be Someone that'll look like you It don't matter what you say I know I could never face Someone that could sound like you (All the right friends, in all the right places So yeah we're going down They got all the right moves in all the right places So yeah we're going down) (All the right friends, in all the right places So yeah we're going down They got all the right moves in all the right places So yeah we're going down) Said, everybody knows everybody knows where we're going Yeah we're going down I said, everybody knows everybody knows where we're going Yeah we're going down (going down, going down, going down) Yeah we're going down Yeah we're going down (All the right moves, hey) Yeah we're going down (All the right moves, hey) Yeah we're going down "
Nude,Radiohead,0.537,0.342,0.0338,0.156,"Don't get any big ideas They're not gonna happen You paint yourself white And fill up with noise There'll be something missing And now that you found it It's gone Now that you feel it You don't You've gone off the rails She stands stark naked And she beckons you to bed Don't go, you'll only want To come back again So don't get any big ideas They're not gonna happen You'll go to Hell For what your Dirty mind is thinking And now that you found it It's gone Now that you feel it You don't It's gone forever "
Here We Go Again,Demi Lovato,0.585,0.927,0.04,0.672,I throw all of your stuff away Then I clear you out of my head I tear you out of my heart And ignore all your messages I tell everyone we are through Cause I'm so much better without you But it's just another pretty lie Cause I break down Every time you come around Oh oh oh oh [Chorus] So how did you get here Under my skin? I swore that I'd never let you back in Should have known better Than trying to let you go Cause here we go go go again Hard as I try I know I can't quit Something about you Is so addictive We're falling together You'd think that by now I'd know Cause here we go go go again You never know what you want And you never say what you mean But I start to go insane Every time that you look at me You only hear half of what I say And you're always showing up too late And I know that I should say goodbye But it's no use Can't be with or without you O oh o oh [Chorus] Oh And again (and again) And again (and again) And again I threw all of your stuff away And I cleared you out of my head And I tore you out of my heart O oh o oh O oh o oh [Chorus] Cause here we go go go again Again (again) again and again and again And again and again and again and again And again and again and again and again and again 
Too Bad,Nickelback,0.598,0.808,0.0388,0.288,"Father's hands are lined with dirt From long days in the field Mother's hands are serving meals In a cafe on Main Street With mouths to feed Just trying to keep clothing on our backs And all I hear about Is how it's so bad, it's so bad It's too bad it's too bad Too late, so wrong, so long It's too bad we had no time to rewind Let's walk, let's talk Let's talk You left without saying goodbye Although I'm sure you tried You'd call the house from time to time To make sure we're alive But you weren't there Right when I needed you the most And now I dream about it And how it's so bad, it's so bad It's too bad it's too bad Too late, so wrong, so long It's too bad we had no time to rewind Let's walk, let's talk It's so bad It's too bad it's too bad It's too late, so wrong, so long It's too bad we had no time to rewind Let's walk, let's talk (Let's talk) Father's hands are lined with guilt For tearing us apart Guess it turned out in the end Just look at where we are We made it out We still got clothing on our backs And now I scream about it And how it's so bad, it's so bad, it's so bad, it's so bad It's too bad it's too bad Too late, so wrong, so long It's too bad we had no time to rewind Let's walk, let's talk It's so bad It's too bad it's too bad It's too late, so wrong, so long It's too bad we had no time to rewind Let's walk, let's talk No time Let's walk Let's talk "
